"Labor force data by county, not seasonally adjusted, February 2021-March 2022(p)",,,,,,,,
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
                 ,  FIPS Codes  ,                                          ,           ,  Civilian  ,            ,     Unemployed,,
  LAUS Area Code ,--------------,                Area Title                ,   Period  ,    Labor   ,  Employed  ,--------------------,,
                 , State, County,                                          ,           ,    Force   ,            ,   Level  ,   Rate
--------------------------------------------------------------------------------------------------------------------------------------,,,,,,,,
 CN4105100000000 ,41,51," Multnomah County, OR                     ",   Mar-21  ,"461,698","429,531","32,167",7
 CN4105300000000 ,41,53," Polk County, OR                          ",   Mar-21  ,"41,770","39,287","2,483",5.9
 CN4105500000000 ,41,55," Sherman County, OR                       ",   Mar-21  ,985,934,51,5.2
 CN4105700000000 ,41,57," Tillamook County, OR                     ",   Mar-21  ,"12,225","11,377",848,6.9
 CN4105900000000 ,41,59," Umatilla County, OR                      ",   Mar-21  ,"37,519","35,091","2,428",6.5
 CN4106100000000 ,41,61," Union County, OR                         ",   Mar-21  ,"12,278","11,368",910,7.4
 CN4106300000000 ,41,63," Wallowa County, OR                       ",   Mar-21  ,"3,464","3,181",283,8.2
 CN4106500000000 ,41,65," Wasco County, OR                         ",   Mar-21  ,"13,045","12,160",885,6.8
 CN4106700000000 ,41,67," Washington County, OR                    ",   Mar-21  ,"326,399","308,551","17,848",5.5
 CN4106900000000 ,41,69," Wheeler County, OR                       ",   Mar-21  ,726,694,32,4.4
 CN4107100000000 ,41,71," Yamhill County, OR                       ",   Mar-21  ,"55,134","51,930","3,204",5.8
 CN4200100000000 ,42,1," Adams County, PA                         ",   Mar-21  ,"54,514","51,945","2,569",4.7
 CN4200300000000 ,42,3," Allegheny County, PA                     ",   Mar-21  ,"630,740","587,804","42,936",6.8
 CN4200500000000 ,42,5," Armstrong County, PA                     ",   Mar-21  ,"31,159","28,585","2,574",8.3
 CN4200700000000 ,42,7," Beaver County, PA                        ",   Mar-21  ,"81,807","75,237","6,570",8
 CN4200900000000 ,42,9," Bedford County, PA                       ",   Mar-21  ,"23,514","21,924","1,590",6.8
 CN4201100000000 ,42,11," Berks County, PA                         ",   Mar-21  ,"211,351","195,962","15,389",7.3
 CN4201300000000 ,42,13," Blair County, PA                         ",   Mar-21  ,"58,885","55,094","3,791",6.4
 CN4201500000000 ,42,15," Bradford County, PA                      ",   Mar-21  ,"27,758","26,003","1,755",6.3
 CN4201700000000 ,42,17," Bucks County, PA                         ",   Mar-21  ,"341,110","321,207","19,903",5.8
 CN4201900000000 ,42,19," Butler County, PA                        ",   Mar-21  ,"97,759","91,741","6,018",6.2
 CN4202100000000 ,42,21," Cambria County, PA                       ",   Mar-21  ,"55,809","51,576","4,233",7.6
 CN4202300000000 ,42,23," Cameron County, PA                       ",   Mar-21  ,"2,006","1,827",179,8.9
 CN4202500000000 ,42,25," Carbon County, PA                        ",   Mar-21  ,"31,967","29,564","2,403",7.5
 CN4202700000000 ,42,27," Centre County, PA                        ",   Mar-21  ,"76,222","72,682","3,540",4.6
 CN4202900000000 ,42,29," Chester County, PA                       ",   Mar-21  ,"282,613","269,861","12,752",4.5
 CN4203100000000 ,42,31," Clarion County, PA                       ",   Mar-21  ,"16,815","15,626","1,189",7.1
 CN4203300000000 ,42,33," Clearfield County, PA                    ",   Mar-21  ,"35,810","33,058","2,752",7.7
 CN4203500000000 ,42,35," Clinton County, PA                       ",   Mar-21  ,"17,341","16,018","1,323",7.6
 CN4203700000000 ,42,37," Columbia County, PA                      ",   Mar-21  ,"33,337","31,189","2,148",6.4
 CN4203900000000 ,42,39," Crawford County, PA                      ",   Mar-21  ,"37,642","34,797","2,845",7.6
 CN4204100000000 ,42,41," Cumberland County, PA                    ",   Mar-21  ,"131,727","125,252","6,475",4.9
 CN4204300000000 ,42,43," Dauphin County, PA                       ",   Mar-21  ,"145,036","134,912","10,124",7
 CN4204500000000 ,42,45," Delaware County, PA                      ",   Mar-21  ,"295,843","275,661","20,182",6.8
 CN4204700000000 ,42,47," Elk County, PA                           ",   Mar-21  ,"14,799","13,727","1,072",7.2
 CN4204900000000 ,42,49," Erie County, PA                          ",   Mar-21  ,"126,984","116,102","10,882",8.6
 CN4205100000000 ,42,51," Fayette County, PA                       ",   Mar-21  ,"55,594","50,185","5,409",9.7
 CN4205300000000 ,42,53," Forest County, PA                        ",   Mar-21  ,"1,758","1,583",175,10
 CN4205500000000 ,42,55," Franklin County, PA                      ",   Mar-21  ,"76,988","72,580","4,408",5.7
 CN4205700000000 ,42,57," Fulton County, PA                        ",   Mar-21  ,"6,991","6,466",525,7.5
 CN4205900000000 ,42,59," Greene County, PA                        ",   Mar-21  ,"15,935","14,643","1,292",8.1
 CN4206100000000 ,42,61," Huntingdon County, PA                    ",   Mar-21  ,"19,093","17,431","1,662",8.7
 CN4206300000000 ,42,63," Indiana County, PA                       ",   Mar-21  ,"37,490","34,677","2,813",7.5
 CN4206500000000 ,42,65," Jefferson County, PA                     ",   Mar-21  ,"19,612","18,148","1,464",7.5
 CN4206700000000 ,42,67," Juniata County, PA                       ",   Mar-21  ,"12,430","11,715",715,5.8
 CN4206900000000 ,42,69," Lackawanna County, PA                    ",   Mar-21  ,"103,350","95,242","8,108",7.8
 CN4207100000000 ,42,71," Lancaster County, PA                     ",   Mar-21  ,"282,029","267,085","14,944",5.3
 CN4207300000000 ,42,73," Lawrence County, PA                      ",   Mar-21  ,"39,713","36,055","3,658",9.2
 CN4207500000000 ,42,75," Lebanon County, PA                       ",   Mar-21  ,"72,268","67,901","4,367",6
 CN4207700000000 ,42,77," Lehigh County, PA                        ",   Mar-21  ,"195,356","180,738","14,618",7.5
 CN4207900000000 ,42,79," Luzerne County, PA                       ",   Mar-21  ,"157,081","142,489","14,592",9.3
 CN4208100000000 ,42,81," Lycoming County, PA                      ",   Mar-21  ,"56,060","51,853","4,207",7.5
 CN4208300000000 ,42,83," McKean County, PA                        ",   Mar-21  ,"16,927","15,621","1,306",7.7
 CN4208500000000 ,42,85," Mercer County, PA                        ",   Mar-21  ,"47,834","43,991","3,843",8
 CN4208700000000 ,42,87," Mifflin County, PA                       ",   Mar-21  ,"20,804","19,395","1,409",6.8
 CN4208900000000 ,42,89," Monroe County, PA                        ",   Mar-21  ,"81,925","75,067","6,858",8.4
 CN4209100000000 ,42,91," Montgomery County, PA                    ",   Mar-21  ,"453,512","428,904","24,608",5.4
 CN4209300000000 ,42,93," Montour County, PA                       ",   Mar-21  ,"8,987","8,571",416,4.6
 CN4209500000000 ,42,95," Northampton County, PA                   ",   Mar-21  ,"161,220","150,782","10,438",6.5
 CN4209700000000 ,42,97," Northumberland County, PA                ",   Mar-21  ,"41,721","38,602","3,119",7.5
 CN4209900000000 ,42,99," Perry County, PA                         ",   Mar-21  ,"23,956","22,711","1,245",5.2
 CN4210100000000 ,42,101," Philadelphia County/city, PA             ",   Mar-21  ,"723,315","649,105","74,210",10.3
 CN4210300000000 ,42,103," Pike County, PA                          ",   Mar-21  ,"24,900","22,855","2,045",8.2
 CN4210500000000 ,42,105," Potter County, PA                        ",   Mar-21  ,"7,070","6,461",609,8.6
 CN4210700000000 ,42,107," Schuylkill County, PA                    ",   Mar-21  ,"65,133","60,218","4,915",7.5
 CN4210900000000 ,42,109," Snyder County, PA                        ",   Mar-21  ,"19,419","18,330","1,089",5.6
 CN4211100000000 ,42,111," Somerset County, PA                      ",   Mar-21  ,"32,801","30,260","2,541",7.7
 CN4211300000000 ,42,113," Sullivan County, PA                      ",   Mar-21  ,"2,539","2,300",239,9.4
 CN4211500000000 ,42,115," Susquehanna County, PA                   ",   Mar-21  ,"19,875","18,563","1,312",6.6
 CN4211700000000 ,42,117," Tioga County, PA                         ",   Mar-21  ,"18,719","17,257","1,462",7.8
 CN4211900000000 ,42,119," Union County, PA                         ",   Mar-21  ,"19,298","18,359",939,4.9
 CN4212100000000 ,42,121," Venango County, PA                       ",   Mar-21  ,"21,951","20,251","1,700",7.7
 CN4212300000000 ,42,123," Warren County, PA                        ",   Mar-21  ,"18,316","16,899","1,417",7.7
 CN4212500000000 ,42,125," Washington County, PA                    ",   Mar-21  ,"104,883","96,960","7,923",7.6
 CN4212700000000 ,42,127," Wayne County, PA                         ",   Mar-21  ,"21,909","20,060","1,849",8.4
 CN4212900000000 ,42,129," Westmoreland County, PA                  ",   Mar-21  ,"175,232","162,808","12,424",7.1
 CN4213100000000 ,42,131," Wyoming County, PA                       ",   Mar-21  ,"13,171","12,183",988,7.5
 CN4213300000000 ,42,133," York County, PA                          ",   Mar-21  ,"234,642","220,802","13,840",5.9
 CN4400100000000 ,44,1," Bristol County, RI                       ",   Mar-21  ,"26,178","24,854","1,324",5.1
 CN4400300000000 ,44,3," Kent County, RI                          ",   Mar-21  ,"92,652","87,469","5,183",5.6
 CN4400500000000 ,44,5," Newport County, RI                       ",   Mar-21  ,"44,785","42,173","2,612",5.8
 CN4400700000000 ,44,7," Providence County, RI                    ",   Mar-21  ,"332,218","310,506","21,712",6.5
 CN4400900000000 ,44,9," Washington County, RI                    ",   Mar-21  ,"69,220","65,397","3,823",5.5
 CN4500100000000 ,45,1," Abbeville County, SC                     ",   Mar-21  ,"9,755","9,260",495,5.1
 CN4500300000000 ,45,3," Aiken County, SC                         ",   Mar-21  ,"74,282","71,499","2,783",3.7
 CN4500500000000 ,45,5," Allendale County, SC                     ",   Mar-21  ,"2,515","2,289",226,9
 CN4500700000000 ,45,7," Anderson County, SC                      ",   Mar-21  ,"90,150","86,422","3,728",4.1
 CN4500900000000 ,45,9," Bamberg County, SC                       ",   Mar-21  ,"4,663","4,284",379,8.1
 CN4501100000000 ,45,11," Barnwell County, SC                      ",   Mar-21  ,"7,653","7,121",532,7
 CN4501300000000 ,45,13," Beaufort County, SC                      ",   Mar-21  ,"75,245","72,374","2,871",3.8
 CN4501500000000 ,45,15," Berkeley County, SC                      ",   Mar-21  ,"105,792","101,541","4,251",4
 CN4501700000000 ,45,17," Calhoun County, SC                       ",   Mar-21  ,"6,436","6,119",317,4.9
 CN4501900000000 ,45,19," Charleston County, SC                    ",   Mar-21  ,"208,156","199,700","8,456",4.1
 CN4502100000000 ,45,21," Cherokee County, SC                      ",   Mar-21  ,"25,110","23,719","1,391",5.5
 CN4502300000000 ,45,23," Chester County, SC                       ",   Mar-21  ,"13,221","12,375",846,6.4
 CN4502500000000 ,45,25," Chesterfield County, SC                  ",   Mar-21  ,"21,413","20,381","1,032",4.8
 CN4502700000000 ,45,27," Clarendon County, SC                     ",   Mar-21  ,"12,566","11,908",658,5.2
 CN4502900000000 ,45,29," Colleton County, SC                      ",   Mar-21  ,"16,032","15,246",786,4.9
 CN4503100000000 ,45,31," Darlington County, SC                    ",   Mar-21  ,"29,872","28,406","1,466",4.9
 CN4503300000000 ,45,33," Dillon County, SC                        ",   Mar-21  ,"13,241","12,435",806,6.1
 CN4503500000000 ,45,35," Dorchester County, SC                    ",   Mar-21  ,"76,816","73,743","3,073",4
 CN4503700000000 ,45,37," Edgefield County, SC                     ",   Mar-21  ,"10,400","10,014",386,3.7
 CN4503900000000 ,45,39," Fairfield County, SC                     ",   Mar-21  ,"9,280","8,697",583,6.3
 CN4504100000000 ,45,41," Florence County, SC                      ",   Mar-21  ,"65,899","63,009","2,890",4.4
 CN4504300000000 ,45,43," Georgetown County, SC                    ",   Mar-21  ,"25,481","24,104","1,377",5.4
 CN4504500000000 ,45,45," Greenville County, SC                    ",   Mar-21  ,"255,677","246,109","9,568",3.7
 CN4504700000000 ,45,47," Greenwood County, SC                     ",   Mar-21  ,"30,782","29,228","1,554",5
 CN4504900000000 ,45,49," Hampton County, SC                       ",   Mar-21  ,"8,039","7,710",329,4.1
 CN4505100000000 ,45,51," Horry County, SC                         ",   Mar-21  ,"145,071","136,699","8,372",5.8
 CN4505300000000 ,45,53," Jasper County, SC                        ",   Mar-21  ,"12,936","12,434",502,3.9
 CN4505500000000 ,45,55," Kershaw County, SC                       ",   Mar-21  ,"29,279","28,103","1,176",4
 CN4505700000000 ,45,57," Lancaster County, SC                     ",   Mar-21  ,"42,656","40,654","2,002",4.7
 CN4505900000000 ,45,59," Laurens County, SC                       ",   Mar-21  ,"29,727","28,322","1,405",4.7
 CN4506100000000 ,45,61," Lee County, SC                           ",   Mar-21  ,"6,627","6,228",399,6
 CN4506300000000 ,45,63," Lexington County, SC                     ",   Mar-21  ,"150,392","145,444","4,948",3.3
 CN4506500000000 ,45,65," McCormick County, SC                     ",   Mar-21  ,"3,296","3,109",187,5.7
 CN4506700000000 ,45,67," Marion County, SC                        ",   Mar-21  ,"13,081","12,188",893,6.8
 CN4506900000000 ,45,69," Marlboro County, SC                      ",   Mar-21  ,"8,933","8,222",711,8
 CN4507100000000 ,45,71," Newberry County, SC                      ",   Mar-21  ,"19,209","18,530",679,3.5
 CN4507300000000 ,45,73," Oconee County, SC                        ",   Mar-21  ,"34,115","32,794","1,321",3.9
 CN4507500000000 ,45,75," Orangeburg County, SC                    ",   Mar-21  ,"33,641","31,210","2,431",7.2
 CN4507700000000 ,45,77," Pickens County, SC                       ",   Mar-21  ,"56,852","54,676","2,176",3.8
 CN4507900000000 ,45,79," Richland County, SC                      ",   Mar-21  ,"197,466","188,556","8,910",4.5
 CN4508100000000 ,45,81," Saluda County, SC                        ",   Mar-21  ,"8,427","8,127",300,3.6
 CN4508300000000 ,45,83," Spartanburg County, SC                   ",   Mar-21  ,"156,816","150,074","6,742",4.3
 CN4508500000000 ,45,85," Sumter County, SC                        ",   Mar-21  ,"43,156","41,013","2,143",5
 CN4508700000000 ,45,87," Union County, SC                         ",   Mar-21  ,"11,532","10,716",816,7.1
 CN4508900000000 ,45,89," Williamsburg County, SC                  ",   Mar-21  ,"11,268","10,528",740,6.6
 CN4509100000000 ,45,91," York County, SC                          ",   Mar-21  ,"144,477","138,710","5,767",4
 CN4600300000000 ,46,3," Aurora County, SD                        ",   Mar-21  ,"1,490","1,455",35,2.3
 CN4600500000000 ,46,5," Beadle County, SD                        ",   Mar-21  ,"9,239","8,951",288,3.1
 CN4600700000000 ,46,7," Bennett County, SD                       ",   Mar-21  ,"1,038",993,45,4.3
 CN4600900000000 ,46,9," Bon Homme County, SD                     ",   Mar-21  ,"2,831","2,744",87,3.1
 CN4601100000000 ,46,11," Brookings County, SD                     ",   Mar-21  ,"18,429","17,811",618,3.4
 CN4601300000000 ,46,13," Brown County, SD                         ",   Mar-21  ,"20,521","19,871",650,3.2
 CN4601500000000 ,46,15," Brule County, SD                         ",   Mar-21  ,"2,479","2,420",59,2.4
 CN4601700000000 ,46,17," Buffalo County, SD                       ",   Mar-21  ,693,648,45,6.5
 CN4601900000000 ,46,19," Butte County, SD                         ",   Mar-21  ,"4,979","4,792",187,3.8
 CN4602100000000 ,46,21," Campbell County, SD                      ",   Mar-21  ,791,762,29,3.7
 CN4602300000000 ,46,23," Charles Mix County, SD                   ",   Mar-21  ,"3,751","3,594",157,4.2
 CN4602500000000 ,46,25," Clark County, SD                         ",   Mar-21  ,"1,987","1,891",96,4.8
 CN4602700000000 ,46,27," Clay County, SD                          ",   Mar-21  ,"7,372","7,164",208,2.8
 CN4602900000000 ,46,29," Codington County, SD                     ",   Mar-21  ,"15,501","14,926",575,3.7
 CN4603100000000 ,46,31," Corson County, SD                        ",   Mar-21  ,"1,353","1,302",51,3.8
 CN4603300000000 ,46,33," Custer County, SD                        ",   Mar-21  ,"4,062","3,870",192,4.7
 CN4603500000000 ,46,35," Davison County, SD                       ",   Mar-21  ,"10,849","10,521",328,3
 CN4603700000000 ,46,37," Day County, SD                           ",   Mar-21  ,"2,686","2,531",155,5.8
 CN4603900000000 ,46,39," Deuel County, SD                         ",   Mar-21  ,"2,270","2,131",139,6.1
 CN4604100000000 ,46,41," Dewey County, SD                         ",   Mar-21  ,"2,344","2,241",103,4.4
 CN4604300000000 ,46,43," Douglas County, SD                       ",   Mar-21  ,"1,566","1,523",43,2.7
 CN4604500000000 ,46,45," Edmunds County, SD                       ",   Mar-21  ,"2,039","1,978",61,3
 CN4604700000000 ,46,47," Fall River County, SD                    ",   Mar-21  ,"3,012","2,873",139,4.6
 CN4604900000000 ,46,49," Faulk County, SD                         ",   Mar-21  ,"1,044","1,018",26,2.5
 CN4605100000000 ,46,51," Grant County, SD                         ",   Mar-21  ,"4,395","4,179",216,4.9
 CN4605300000000 ,46,53," Gregory County, SD                       ",   Mar-21  ,"2,036","1,970",66,3.2
 CN4605500000000 ,46,55," Haakon County, SD                        ",   Mar-21  ,"1,038","1,008",30,2.9
 CN4605700000000 ,46,57," Hamlin County, SD                        ",   Mar-21  ,"3,424","3,329",95,2.8
 CN4605900000000 ,46,59," Hand County, SD                          ",   Mar-21  ,"1,752","1,709",43,2.5
 CN4606100000000 ,46,61," Hanson County, SD                        ",   Mar-21  ,"1,779","1,696",83,4.7
 CN4606300000000 ,46,63," Harding County, SD                       ",   Mar-21  ,731,710,21,2.9
 CN4606500000000 ,46,65," Hughes County, SD                        ",   Mar-21  ,"9,789","9,513",276,2.8
 CN4606700000000 ,46,67," Hutchinson County, SD                    ",   Mar-21  ,"3,631","3,488",143,3.9
 CN4606900000000 ,46,69," Hyde County, SD                          ",   Mar-21  ,664,651,13,2
 CN4607100000000 ,46,71," Jackson County, SD                       ",   Mar-21  ,"1,193","1,119",74,6.2
 CN4607300000000 ,46,73," Jerauld County, SD                       ",   Mar-21  ,"1,325","1,298",27,2
 CN4607500000000 ,46,75," Jones County, SD                         ",   Mar-21  ,492,474,18,3.7
 CN4607700000000 ,46,77," Kingsbury County, SD                     ",   Mar-21  ,"2,734","2,635",99,3.6
 CN4607900000000 ,46,79," Lake County, SD                          ",   Mar-21  ,"6,480","6,269",211,3.3
 CN4608100000000 ,46,81," Lawrence County, SD                      ",   Mar-21  ,"13,523","13,089",434,3.2
 CN4608300000000 ,46,83," Lincoln County, SD                       ",   Mar-21  ,"36,196","35,204",992,2.7
 CN4608500000000 ,46,85," Lyman County, SD                         ",   Mar-21  ,"1,615","1,538",77,4.8
 CN4608700000000 ,46,87," McCook County, SD                        ",   Mar-21  ,"3,038","2,939",99,3.3
 CN4608900000000 ,46,89," McPherson County, SD                     ",   Mar-21  ,985,942,43,4.4
 CN4609100000000 ,46,91," Marshall County, SD                      ",   Mar-21  ,"2,415","2,298",117,4.8
 CN4609300000000 ,46,93," Meade County, SD                         ",   Mar-21  ,"13,732","13,245",487,3.5
 CN4609500000000 ,46,95," Mellette County, SD                      ",   Mar-21  ,746,711,35,4.7
 CN4609700000000 ,46,97," Miner County, SD                         ",   Mar-21  ,"1,179","1,137",42,3.6
 CN4609900000000 ,46,99," Minnehaha County, SD                     ",   Mar-21  ,"112,986","109,058","3,928",3.5
 CN4610100000000 ,46,101," Moody County, SD                         ",   Mar-21  ,"4,038","3,900",138,3.4
 CN4610200000000 ,46,102," Oglala Lakota County, SD                 ",   Mar-21  ,"3,764","3,420",344,9.1
 CN4610300000000 ,46,103," Pennington County, SD                    ",   Mar-21  ,"56,604","54,526","2,078",3.7
 CN4610500000000 ,46,105," Perkins County, SD                       ",   Mar-21  ,"1,397","1,347",50,3.6
 CN4610700000000 ,46,107," Potter County, SD                        ",   Mar-21  ,"1,035","1,000",35,3.4
 CN4610900000000 ,46,109," Roberts County, SD                       ",   Mar-21  ,"4,723","4,443",280,5.9
 CN4611100000000 ,46,111," Sanborn County, SD                       ",   Mar-21  ,"1,209","1,167",42,3.5
 CN4611500000000 ,46,115," Spink County, SD                         ",   Mar-21  ,"3,081","2,946",135,4.4
 CN4611700000000 ,46,117," Stanley County, SD                       ",   Mar-21  ,"1,928","1,858",70,3.6
 CN4611900000000 ,46,119," Sully County, SD                         ",   Mar-21  ,829,791,38,4.6
 CN4612100000000 ,46,121," Todd County, SD                          ",   Mar-21  ,"2,970","2,832",138,4.6
 CN4612300000000 ,46,123," Tripp County, SD                         ",   Mar-21  ,"3,025","2,951",74,2.4
 CN4612500000000 ,46,125," Turner County, SD                        ",   Mar-21  ,"4,623","4,477",146,3.2
 CN4612700000000 ,46,127," Union County, SD                         ",   Mar-21  ,"8,649","8,301",348,4
 CN4612900000000 ,46,129," Walworth County, SD                      ",   Mar-21  ,"2,160","2,009",151,7
 CN4613500000000 ,46,135," Yankton County, SD                       ",   Mar-21  ,"11,493","11,145",348,3
 CN4613700000000 ,46,137," Ziebach County, SD                       ",   Mar-21  ,980,951,29,3
 CN4700100000000 ,47,1," Anderson County, TN                      ",   Mar-21  ,"34,600","33,044","1,556",4.5
 CN4700300000000 ,47,3," Bedford County, TN                       ",   Mar-21  ,"20,960","19,966",994,4.7
 CN4700500000000 ,47,5," Benton County, TN                        ",   Mar-21  ,"6,836","6,452",384,5.6
 CN4700700000000 ,47,7," Bledsoe County, TN                       ",   Mar-21  ,"4,305","4,039",266,6.2
 CN4700900000000 ,47,9," Blount County, TN                        ",   Mar-21  ,"64,174","61,481","2,693",4.2
 CN4701100000000 ,47,11," Bradley County, TN                       ",   Mar-21  ,"51,122","48,696","2,426",4.7
 CN4701300000000 ,47,13," Campbell County, TN                      ",   Mar-21  ,"14,726","13,891",835,5.7
 CN4701500000000 ,47,15," Cannon County, TN                        ",   Mar-21  ,"6,551","6,288",263,4
 CN4701700000000 ,47,17," Carroll County, TN                       ",   Mar-21  ,"11,454","10,847",607,5.3
 CN4701900000000 ,47,19," Carter County, TN                        ",   Mar-21  ,"24,190","23,003","1,187",4.9
 CN4702100000000 ,47,21," Cheatham County, TN                      ",   Mar-21  ,"21,700","20,858",842,3.9
 CN4702300000000 ,47,23," Chester County, TN                       ",   Mar-21  ,"8,500","8,185",315,3.7
 CN4702500000000 ,47,25," Claiborne County, TN                     ",   Mar-21  ,"12,802","12,167",635,5
 CN4702700000000 ,47,27," Clay County, TN                          ",   Mar-21  ,"2,679","2,510",169,6.3
 CN4702900000000 ,47,29," Cocke County, TN                         ",   Mar-21  ,"14,629","13,700",929,6.4
 CN4703100000000 ,47,31," Coffee County, TN                        ",   Mar-21  ,"25,259","24,058","1,201",4.8
 CN4703300000000 ,47,33," Crockett County, TN                      ",   Mar-21  ,"6,813","6,515",298,4.4
 CN4703500000000 ,47,35," Cumberland County, TN                    ",   Mar-21  ,"22,471","21,143","1,328",5.9
 CN4703700000000 ,47,37," Davidson County, TN                      ",   Mar-21  ,"399,649","379,886","19,763",4.9
 CN4703900000000 ,47,39," Decatur County, TN                       ",   Mar-21  ,"4,325","4,024",301,7
 CN4704100000000 ,47,41," DeKalb County, TN                        ",   Mar-21  ,"7,674","7,250",424,5.5
 CN4704300000000 ,47,43," Dickson County, TN                       ",   Mar-21  ,"26,679","25,625","1,054",4
 CN4704500000000 ,47,45," Dyer County, TN                          ",   Mar-21  ,"15,923","15,043",880,5.5
 CN4704700000000 ,47,47," Fayette County, TN                       ",   Mar-21  ,"19,077","18,185",892,4.7
 CN4704900000000 ,47,49," Fentress County, TN                      ",   Mar-21  ,"7,494","7,135",359,4.8
 CN4705100000000 ,47,51," Franklin County, TN                      ",   Mar-21  ,"19,408","18,559",849,4.4
 CN4705300000000 ,47,53," Gibson County, TN                        ",   Mar-21  ,"21,613","20,537","1,076",5
 CN4705500000000 ,47,55," Giles County, TN                         ",   Mar-21  ,"14,438","13,768",670,4.6
 CN4705700000000 ,47,57," Grainger County, TN                      ",   Mar-21  ,"9,527","9,042",485,5.1
 CN4705900000000 ,47,59," Greene County, TN                        ",   Mar-21  ,"29,278","27,791","1,487",5.1
 CN4706100000000 ,47,61," Grundy County, TN                        ",   Mar-21  ,"4,973","4,670",303,6.1
 CN4706300000000 ,47,63," Hamblen County, TN                       ",   Mar-21  ,"27,828","26,585","1,243",4.5
 CN4706500000000 ,47,65," Hamilton County, TN                      ",   Mar-21  ,"183,499","175,168","8,331",4.5
 CN4706700000000 ,47,67," Hancock County, TN                       ",   Mar-21  ,"2,254","2,123",131,5.8
 CN4706900000000 ,47,69," Hardeman County, TN                      ",   Mar-21  ,"8,997","8,368",629,7
 CN4707100000000 ,47,71," Hardin County, TN                        ",   Mar-21  ,"10,238","9,713",525,5.1
 CN4707300000000 ,47,73," Hawkins County, TN                       ",   Mar-21  ,"23,102","21,946","1,156",5
 CN4707500000000 ,47,75," Haywood County, TN                       ",   Mar-21  ,"7,601","7,114",487,6.4
 CN4707700000000 ,47,77," Henderson County, TN                     ",   Mar-21  ,"11,962","11,358",604,5
 CN4707900000000 ,47,79," Henry County, TN                         ",   Mar-21  ,"14,067","13,404",663,4.7
 CN4708100000000 ,47,81," Hickman County, TN                       ",   Mar-21  ,"11,241","10,796",445,4
 CN4708300000000 ,47,83," Houston County, TN                       ",   Mar-21  ,"3,214","3,028",186,5.8
 CN4708500000000 ,47,85," Humphreys County, TN                     ",   Mar-21  ,"8,630","8,252",378,4.4
 CN4708700000000 ,47,87," Jackson County, TN                       ",   Mar-21  ,"4,770","4,514",256,5.4
 CN4708900000000 ,47,89," Jefferson County, TN                     ",   Mar-21  ,"24,797","23,626","1,171",4.7
 CN4709100000000 ,47,91," Johnson County, TN                       ",   Mar-21  ,"7,886","7,536",350,4.4
 CN4709300000000 ,47,93," Knox County, TN                          ",   Mar-21  ,"245,492","236,125","9,367",3.8
 CN4709500000000 ,47,95," Lake County, TN                          ",   Mar-21  ,"1,665","1,536",129,7.7
 CN4709700000000 ,47,97," Lauderdale County, TN                    ",   Mar-21  ,"9,660","9,026",634,6.6
 CN4709900000000 ,47,99," Lawrence County, TN                      ",   Mar-21  ,"19,066","18,161",905,4.7
 CN4710100000000 ,47,101," Lewis County, TN                         ",   Mar-21  ,"5,377","5,123",254,4.7
 CN4710300000000 ,47,103," Lincoln County, TN                       ",   Mar-21  ,"16,071","15,297",774,4.8
 CN4710500000000 ,47,105," Loudon County, TN                        ",   Mar-21  ,"23,745","22,779",966,4.1
 CN4710700000000 ,47,107," McMinn County, TN                        ",   Mar-21  ,"22,954","21,760","1,194",5.2
 CN4710900000000 ,47,109," McNairy County, TN                       ",   Mar-21  ,"8,360","7,828",532,6.4
 CN4711100000000 ,47,111," Macon County, TN                         ",   Mar-21  ,"11,107","10,633",474,4.3
 CN4711300000000 ,47,113," Madison County, TN                       ",   Mar-21  ,"49,520","46,999","2,521",5.1
 CN4711500000000 ,47,115," Marion County, TN                        ",   Mar-21  ,"12,300","11,686",614,5
 CN4711700000000 ,47,117," Marshall County, TN                      ",   Mar-21  ,"15,408","14,715",693,4.5
 CN4711900000000 ,47,119," Maury County, TN                         ",   Mar-21  ,"50,868","48,574","2,294",4.5
 CN4712100000000 ,47,121," Meigs County, TN                         ",   Mar-21  ,"5,205","4,906",299,5.7
 CN4712300000000 ,47,123," Monroe County, TN                        ",   Mar-21  ,"20,331","19,389",942,4.6
 CN4712500000000 ,47,125," Montgomery County, TN                    ",   Mar-21  ,"87,582","82,993","4,589",5.2
 CN4712700000000 ,47,127," Moore County, TN                         ",   Mar-21  ,"3,537","3,424",113,3.2
 CN4712900000000 ,47,129," Morgan County, TN                        ",   Mar-21  ,"7,694","7,291",403,5.2
 CN4713100000000 ,47,131," Obion County, TN                         ",   Mar-21  ,"12,355","11,681",674,5.5
 CN4713300000000 ,47,133," Overton County, TN                       ",   Mar-21  ,"9,891","9,411",480,4.9
 CN4713500000000 ,47,135," Perry County, TN                         ",   Mar-21  ,"2,872","2,676",196,6.8
 CN4713700000000 ,47,137," Pickett County, TN                       ",   Mar-21  ,"2,201","2,098",103,4.7
 CN4713900000000 ,47,139," Polk County, TN                          ",   Mar-21  ,"7,165","6,811",354,4.9
 CN4714100000000 ,47,141," Putnam County, TN                        ",   Mar-21  ,"35,635","34,102","1,533",4.3
 CN4714300000000 ,47,143," Rhea County, TN                          ",   Mar-21  ,"13,497","12,750",747,5.5
